EmpID,FirstName,LastName,FullName,StartDate,ExitDate,TitleOfJob,Supervisor,EmployerEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,CurrentEmployeeRating
3459,Saniya,Yu,Saniya Yu,4-18-2021,6-21-2022,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,02-09-1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2
3461,Lincoln,Compton,Lincoln Compton,7-18-2019,10-01-2021,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,12-29-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1
3462,Aliana,Nolan,Aliana Nolan,9-13-2018,9-17-2021,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,08-09-1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3
3463,Kayden,Dodson,Kayden Dodson,4-30-2020,7-18-2021,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,6-21-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
3464,James,Duke,James Duke,12-03-2018,09-09-2022,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),6-17-1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5
3466,Clayton,Walker,Clayton Walker,4-13-2022,04-10-2023,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,1-26-1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4
3469,Ryland,Shepherd,Ryland Shepherd,7-29-2020,01-05-2023,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,2-21-1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3
3470,Esteban,Gilbert,Esteban Gilbert,11-14-2018,10-28-2019,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,5-31-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3
3475,Vance,Trujillo,Vance Trujillo,9-21-2021,4-13-2023,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,12-25-1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2
3476,Charlie,Koch,Charlie Koch,06-12-2023,07-06-2023,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,6-20-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2
3478,Thomas,Chandler,Thomas Chandler,9-17-2018,01-09-2019,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10-10-1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2
3479,Sarai,Stone,Sarai Stone,08-02-2022,04-02-2023,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,5-17-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
3480,Jerimiah,Harmon,Jerimiah Harmon,09-08-2022,10-16-2022,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,08-09-1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1
3481,Leland,Allen,Leland Allen,03-07-2019,5-31-2021,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,12-11-1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4
3482,Cristal,Bolton,Cristal Bolton,10-29-2019,02-07-2021,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,02-11-1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2
3486,Brendon,Mcconnell,Brendon Mcconnell,10-31-2022,06-08-2023,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,11-14-1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4
3495,Tia,Ellis,Tia Ellis,6-22-2023,7-22-2023,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,1-27-1993,IN,Laborer,Male,1115,Other,Married,Fully Meets,4
3498,Joel,Mcmillan,Joel Mcmillan,4-26-2023,6-22-2023,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,10-17-1998,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2
3499,Maci,Frost,Maci Frost,9-25-2018,12-20-2021,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,1-16-1971,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5
3500,Nevaeh,Lucas,Nevaeh Lucas,11-20-2018,6-21-2020,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),2-25-2000,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1
3501,Garrett,Zimmerman,Garrett Zimmerman,8-30-2020,8-30-2022,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General - Con,4-19-1959,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4
3506,Laila,Woodard,Laila Woodard,8-27-2019,05-10-2023,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Fund nor half early miss follow.,Sales,Field Operations,07-06-1988,IN,Technician,Male,38740,Other,Married,Fully Meets,2
3507,Ivan,Huff,Ivan Huff,2-25-2021,04-07-2023,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Line later deal stand sometimes too mind.,Sales,Project Management - Con,3-24-1973,CA,Manager,Male,9437,White,Single,Fully Meets,4
3511,Karli,Barker,Karli Barker,8-17-2021,12-31-2021,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Tell paper every.,Sales,Finance & Accounting,2-18-1997,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4
3512,Tyrone,Sosa,Tyrone Sosa,4-17-2023,6-22-2023,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Why sport must page bad.,Sales,Yard (Material Handling),10-25-1996,TX,Coordinator,Female,58860,Black,Single,Fully Meets,2
3513,Damaris,Cisneros,Damaris Cisneros,09-02-2022,5-24-2023,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Something sense information final building.,Sales,General - Con,11-13-1959,TX,Laborer,Male,93051,Other,Married,Fully Meets,5
3515,Kinsley,Flowers,Kinsley Flowers,03-09-2022,12-10-2022,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,School see rest firm I.,Sales,Finance & Accounting,4-29-1997,CO,Controller,Male,59593,White,Single,Fully Meets,4
3516,Deborah,Love,Deborah Love,04-07-2022,1-22-2023,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Retirement,Source doctor rock group this.,Sales,Project Management - Con,6-25-1988,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5
3518,Roberto,Michael,Roberto Michael,04-10-2021,07-04-2022,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Little imagine career he produce program.,Sales,General - Eng,5-24-1969,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2
3519,Elaine,Ewing,Elaine Ewing,12-19-2021,03-02-2022,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Your very trip successful memory to while out.,Sales,Aerial,3-28-1951,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2
3520,Caiden,Munoz,Caiden Munoz,12-13-2020,1-13-2023,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Red some option.,Sales,Project Management - Con,03-01-1963,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1
3523,Rohan,Chapman,Rohan Chapman,6-25-2021,8-25-2022,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Theory grow future week house.,Sales,General - Con,12-19-1978,KY,Laborer,Female,23092,Other,Single,Fully Meets,2
3524,Emmanuel,Franklin,Emmanuel Franklin,7-26-2021,05-04-2022,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Inside week also so.,Sales,Field Operations,11-11-1999,TX,Laborer,Male,6074,Asian,Divorced,Fully Meets,2
3525,Clayton,Mccormick,Clayton Mccormick,07-03-2022,01-10-2023,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Surface vote old picture.,Sales,General - Con,1-29-1967,TX,Foreman,Male,72264,Hispanic,Single,Fully Meets,2
3527,Ahmed,Hawkins,Ahmed Hawkins,05-01-2020,2-25-2021,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Retirement,Especially thing recognize year fine shoulder.,Sales,Aerial,10-15-1974,CO,Lineman,Male,46645,Black,Married,Fully Meets,1
3529,Callum,Mcdaniel,Callum Mcdaniel,01-03-2020,8-24-2020,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Camera spring color about energy provide claim.,Sales,Field Operations,6-18-1994,IN,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2
3533,Slade,Griffith,Slade Griffith,06-01-2021,7-16-2023,Area Sales Manager,Kelsey Gibson,slade.griffith@bilearner.com,MSC,Active,Contract,Zone B,Full-Time,Voluntary,Pass language out side age evidence.,Sales,General - Sga,11-12-1966,ND,Administrator,Male,65183,White,Married,Fully Meets,2
3535,Veronica,Rowe,Veronica Rowe,12-11-2018,06-02-2022,Area Sales Manager,Brian Morton,veronica.rowe@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Retirement,Popular west moment natural step activity.,Sales,Fielders,02-02-1994,KY,Engineer,Female,29811,Black,Single,Fully Meets,4
3537,Neveah,Rowe,Neveah Rowe,5-28-2022,2-24-2023,Area Sales Manager,Dawn Perez,neveah.rowe@bilearner.com,NEL,Future Start,Contract,Zone C,Part-Time,Retirement,Manager lead both sing.,Sales,Field Operations,07-11-1954,TX,Foreman,Male,63882,Hispanic,Married,Fully Meets,2
3538,Keith,Baxter,Keith Baxter,6-16-2019,03-05-2022,Area Sales Manager,Diane Parker,keith.baxter@bilearner.com,PL,Future Start,Part-Time,Zone C,Part-Time,Resignation,And after why station much cell low.,Sales,Fielders,8-29-1959,TX,Engineer,Male,62328,Asian,Widowed,Fully Meets,2
3540,Maya,Mccann,Maya Mccann,03-12-2020,10-09-2022,Area Sales Manager,Dakota Robinson,maya.mccann@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Retirement,American rule surface very figure.,Sales,Splicing,06-09-1983,CO,Supervisor,Male,18721,White,Widowed,Exceeds,4
3541,Aaron,Weber,Aaron Weber,04-06-2020,7-24-2023,Area Sales Manager,Melanie Garcia,aaron.weber@bilearner.com,SVG,Active,Full-Time,Zone B,Full-Time,Involuntary,Read stand western white article campaign dog.,Sales,Field Operations,10-27-1991,IN,Technician,Male,78938,Black,Married,Exceeds,2
3544,Samara,Mcbride,Samara Mcbride,6-29-2023,07-09-2023,Area Sales Manager,Laura Salinas,samara.mcbride@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Retirement,Political likely land country.,Sales,Aerial,9-16-2000,CA,Foreman,Male,13902,Asian,Single,Fully Meets,2
3546,Paris,Carr,Paris Carr,7-31-2021,1-27-2023,Area Sales Manager,Jeffrey Huffman,paris.carr@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Voluntary,Baby million million soldier.,Sales,General - Con,7-14-1980,ND,Foreman,Male,35786,Hispanic,Widowed,Exceeds,1
3548,Sanaa,Glass,Sanaa Glass,07-11-2021,10-10-2022,Area Sales Manager,Stephen Garcia,sanaa.glass@bilearner.com,WBL,Active,Part-Time,Zone A,Full-Time,Resignation,Bit reveal forget the.,Sales,General - Con,1-25-1964,KY,Technician,Female,40135,White,Single,Fully Meets,1
3549,Ryan,Lynch,Ryan Lynch,10-15-2018,10-18-2020,Area Sales Manager,Tracy Castro MD,ryan.lynch@bilearner.com,TNS,Active,Full-Time,Zone C,Full-Time,Retirement,Fact southern recognize themselves type mean.,Sales,Field Operations,3-17-1955,GA,Technician,Female,72975,Black,Divorced,Fully Meets,2
3550,Charlie,Atkinson,Charlie Atkinson,11-26-2021,10-14-2022,Area Sales Manager,Jennifer Hicks,charlie.atkinson@bilearner.com,SVG,Future Start,Part-Time,Zone C,Temporary,Resignation,Will person decade Republican.,Sales,Wireline Construction,3-26-1988,TX,Billing,Male,57754,White,Divorced,Fully Meets,1
3552,Harper,Ramos,Harper Ramos,2-16-2020,06-03-2020,Area Sales Manager,Maria Chan,harper.ramos@bilearner.com,PL,Active,Full-Time,Zone B,Full-Time,Retirement,Stand possible truth bank on meet daughter.,Sales,Field Operations,08-11-1942,CO,Foreman,Male,28714,White,Single,Needs Improvement,1
3555,Matilda,Randall,Matilda Randall,01-06-2023,05-07-2023,Area Sales Manager,Daniel Wolf,matilda.randall@bilearner.com,EW,Active,Full-Time,Zone C,Temporary,Resignation,Choose list of all nor stock.,Sales,General - Eng,01-11-1988,IN,Drafter,Female,48104,Hispanic,Widowed,Fully Meets,4
3556,Damien,Howe,Damien Howe,7-18-2019,1-15-2020,Area Sales Manager,Sarah Petersen,damien.howe@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,Retirement,Community material much behind.,Sales,Wireline Construction,6-16-1961,CA,Vp,Male,86009,White,Single,Exceeds,2
3559,Wilson K,Adinolfi,Wilson K Adinolfi,11-06-2019,09-06-2020,Production Technician I,Andrea Gutierrez,wilson k.adinolfi@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Retirement,Age approach seek person across yes care.,Production       ,Field Operations,11-18-1991,MA,Assistant,Male,1960,White,Single,Fully Meets,2
3562,Jean,Crimmings,Jean Crimmings,5-21-2019,01-05-2023,Production Technician I,Stephen Rodriguez,jean.crimmings@bilearner.com,CCDR,Future Start,Contract,Zone B,Full-Time,Retirement,Whom summer common produce despite follow.,Production       ,Shop (Fleet),04-09-1954,MA,Manager,Female,1821,Other,Single,Exceeds,2
3564,Susan,Lundy,Susan Lundy,1-26-2019,12-02-2020,Production Technician II,Diana Johnson,susan.lundy@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone C,Temporary,Resignation,Week degree party available measure.,Production       ,Aerial,11-07-1994,MA,Lineman,Female,2122,White,Divorced,Fully Meets,1
3568,Quinn,Rarrick,Quinn Rarrick,07-11-2023,7-29-2023,Production Technician I,Susan Brown,quinn.rarrick@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Involuntary,Couple really very hear.,Production       ,Field Operations,12-08-1974,MA,Foreman,Male,2478,Asian,Divorced,Fully Meets,2
3569,Beatrice,Chace,Beatrice Chace,02-09-2019,8-28-2020,Production Technician I,Margaret Hampton,beatrice.chace@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,Involuntary,Trial little must kitchen recently.,Production       ,Catv,7-19-1995,MA,Supervisor,Female,2763,Hispanic,Divorced,Fully Meets,2
3570,Adrienne J,Homberger,Adrienne J Homberger,4-19-2019,10-26-2021,Production Technician II,Brandon Miller,adrienne j.homberger@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,Change instead determine share far leg ground.,Production       ,Fielders,11-23-1974,MA,Engineer,Female,2445,Asian,Married,Fully Meets,1
3571,Marilyn,Linares,Marilyn Linares,07-07-2022,7-17-2023,Production Technician I,Dr. Matthew Schmitt,marilyn.linares@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Resignation,Heavy throughout program.,Production       ,Field Operations,8-29-1947,MA,Engineer,Female,1886,White,Widowed,Fully Meets,4
3572,Timothy,Sullivan,Timothy Sullivan,03-12-2019,5-19-2020,Production Technician I,Shawn Berry,timothy.sullivan@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Retirement,Where first Mr remember crime.,Production       ,Fielders,06-07-1994,MA,Engineer,Male,2747,White,Single,Fully Meets,5
3573,Jennifer,Medeiros,Jennifer Medeiros,03-09-2020,10-17-2021,Production Technician I,Brittany Martin,jennifer.medeiros@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Involuntary,Cup purpose hundred region similar.,Production       ,Field Operations,10-26-1983,MA,Driller,Female,2346,Asian,Divorced,Exceeds,4
3574,Anna,Von Massenbach,Anna Von Massenbach,5-18-2021,01-04-2022,Production Technician I,Timothy Weaver,anna.von massenbach@bilearner.com,WBL,Future Start,Contract,Zone B,Full-Time,Involuntary,News quite number answer program.,Production       ,Underground,05-06-1951,MA,Laborer,Female,2124,Hispanic,Widowed,Fully Meets,1
3575,George,Johnson,George Johnson,4-28-2021,1-18-2022,Production Technician I,Amanda Smith,george.johnson@bilearner.com,MSC,Voluntarily Terminated,Part-Time,Zone A,Temporary,Resignation,Big large training region.,Production       ,Field Operations,03-05-1987,MA,Groundman,Male,2445,Hispanic,Single,Exceeds,5
3576,Angela,Erilus,Angela Erilus,7-21-2021,4-26-2023,Production Technician II,Marc Cummings,angela.erilus@bilearner.com,PL,Active,Full-Time,Zone B,Full-Time,Voluntary,Reflect off growth mouth have.,Production       ,Engineers,4-26-1992,MA,Project Manager,Female,2133,Asian,Single,Exceeds,4
3581,Ross,Strickland,Ross Strickland,11-20-2020,05-01-2023,Production Technician I,Paul Walker,ross.strickland@bilearner.com,SVG,Active,Full-Time,Zone A,Part-Time,Voluntary,Memory high then mind concern carry level life.,Production       ,Wireline Construction,03-08-1943,MA,Foreman,Male,18389,Other,Divorced,Fully Meets,2
3582,Augustus,Drake,Augustus Drake,8-19-2020,05-04-2022,Production Technician I,Elizabeth Robertson,augustus.drake@bilearner.com,TNS,Active,Part-Time,Zone B,Part-Time,Retirement,Other might rise today.,Production       ,Yard (Material Handling),08-09-1968,MA,Laborer,Male,90676,Asian,Widowed,Fully Meets,4
3583,Gracelyn,Huynh,Gracelyn Huynh,4-28-2021,4-18-2022,Production Technician I,Tasha Mayer,gracelyn.huynh@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Retirement,Others those data before major how.,Production       ,Field Operations,11-20-1958,MA,Construction Manager,Female,16011,White,Married,Needs Improvement,4
3586,Jaqueline,Terrell,Jaqueline Terrell,02-01-2019,02-10-2019,Production Technician I,Veronica Wiley,jaqueline.terrell@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Resignation,Identify next game leader.,Production       ,People Services,12-27-2000,MA,Manager,Female,24711,Hispanic,Single,Fully Meets,2
3587,Quinn,Mccullough,Quinn Mccullough,05-10-2021,12-17-2021,Production Technician I,Katherine Gay,quinn.mccullough@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Resignation,Society red to able.,Production       ,General - Eng,12-25-1977,MA,Administrative,Male,74564,Other,Divorced,Fully Meets,2
3588,Selena,Greer,Selena Greer,6-25-2019,8-15-2019,Production Technician I,Paul Lopez,selena.greer@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,Retirement,Everybody no four arrive major ten culture.,Production       ,Shop (Fleet),03-08-1972,MA,Mechanic,Male,14504,Black,Widowed,Fully Meets,2
3590,Dominik,Mullen,Dominik Mullen,2-25-2021,10-13-2022,Production Technician I,Jessica Allen,dominik.mullen@bilearner.com,PYZ,Future Start,Part-Time,Zone C,Full-Time,Retirement,Country as dream project office.,Production       ,Field Operations,5-31-1995,MA,Laborer,Male,66167,Asian,Widowed,Fully Meets,4
3591,Abdullah,Ellison,Abdullah Ellison,11-23-2021,5-29-2023,Production Technician I,Dr. William Thompson,abdullah.ellison@bilearner.com,SVG,Future Start,Contract,Zone B,Part-Time,Voluntary,Quality decade director.,Production       ,Field Operations,11-14-1998,MA,Supervisor,Female,21634,White,Married,Needs Improvement,5
